Taxon,longitude,latitude
Spiraea_alba,-72.675862,44.649445
Spiraea_alba,-92.731818,45.522042
Spiraea_alba,-89.6295,41.643713
Spiraea_alba,-66.622587,46.044304
Spiraea_alba,-73.341395,42.750827
Spiraea_alba,-72.567733,43.716245
Spiraea_alba,-71.988641,42.586466
Spiraea_alba,-65.835089,46.943015
Spiraea_alba,-72.521561,42.436004
Spiraea_alba,-80.570397,45.964093
Spiraea_alba,-73.890196,44.406306
Spiraea_alba,-90.547922,46.921418
Spiraea_alba,-89.89861,43.918278
Spiraea_alba,-66.536042,45.883133
Spiraea_alba,-75.293401,41.37748
Spiraea_alba,-75.863162,40.428579
Spiraea_alba,-73.198497,41.73311
Spiraea_alba,-68.046786,45.315342
Spiraea_alba,-71.701995,44.140675
Spiraea_alba,-75.674114,45.056351
Spiraea_alba,-94.471962,50.251103
Spiraea_alba,-87.965446,42.482803
Spiraea_alba,-78.262093,45.478768
Spiraea_alba,-72.095578,42.723672
Spiraea_alba,-81.803963,43.256409
Spiraea_alba,-70.866436,42.693812
Spiraea_alba,-64.672885,45.75868
Spiraea_alba,-72.66487,46.400924
Spiraea_alba,-72.963085,43.037012
Spiraea_alba,-80.363785,47.300083
Spiraea_alba,-64.634914,44.477536
Spiraea_alba,-83.094033,40.728389
Spiraea_alba,-75.533213,41.250084
Spiraea_alba,-72.08338,43.181139
Spiraea_alba,-89.607065,44.380919
Spiraea_alba,-73.477239,44.88941
Spiraea_alba,-68.231357,44.35853
Spiraea_alba,-69.03183,45.882263
Spiraea_alba,-72.169927,45.280577
Spiraea_alba,-72.719536,42.408085
Spiraea_alba,-70.367644,43.562583
Spiraea_alba,-78.881097,46.288961
Spiraea_alba,-71.119415,43.36792
Spiraea_alba,-74.577965,42.178711
Spiraea_alba,-88.018315,43.868099
Spiraea_alba,-82.518706,42.652889
Spiraea_alba,-74.943301,40.32818
Spiraea_alba,-68.311655,44.400797
Spiraea_alba,-73.746903,44.140708
Spiraea_alba,-71.475452,42.415664
Spiraea_alba,-73.098011,44.535212
Spiraea_alba,-83.95825,46.311268
Spiraea_alba,-75.898033,41.343679
Spiraea_alba,-69.831087,43.807238
Spiraea_alba,-89.124727,43.923045
Spiraea_alba,-74.798187,44.155006
Spiraea_alba,-74.786144,44.155483
Spiraea_alba,-78.595482,45.447468
Spiraea_alba,-84.687492,47.38947
Spiraea_alba,-78.903322,45.37801
Spiraea_alba,-72.419211,44.31378
Spiraea_alba,-74.25936,44.446137
Spiraea_alba,-87.086863,41.644126
Spiraea_alba,-62.915622,46.361017
Spiraea_alba,-85.9422,46.290108
Spiraea_alba,-78.711997,44.789417
Spiraea_alba,-79.211261,45.347207
Spiraea_alba,-68.348755,44.309105
Spiraea_alba,-73.227712,44.455588
Spiraea_alba,-64.313311,44.533407
Spiraea_alba,-72.061437,44.276631
Spiraea_alba,-83.902718,46.331089
Spiraea_alba,-83.996375,46.321249
Spiraea_alba,-74.141339,41.52979
Spiraea_alba,-92.409972,45.784455
Spiraea_alba,-60.154986,46.130631
Spiraea_alba,-76.150117,42.338183
Spiraea_alba,-71.279776,41.752865
Spiraea_alba,-84.3861,42.766758
Spiraea_alba,-72.94365,42.549127
Spiraea_alba,-68.197638,44.329061
Spiraea_alba,-72.68779,44.896006
Spiraea_alba,-89.795511,46.738615
Spiraea_alba,-72.309235,43.893096
Spiraea_alba,-73.559044,44.667389
Spiraea_alba,-87.428712,41.086525
Spiraea_alba,-75.446094,40.252658
Spiraea_alba,-77.243542,44.707464
Spiraea_alba,-71.549131,41.466708
Spiraea_alba,-71.479513,44.208201
Spiraea_alba,-76.055717,45.602942
Spiraea_alba,-75.889458,43.717957
Spiraea_alba,-73.872162,44.459522
Spiraea_alba,-74.661964,44.769958
Spiraea_alba,-63.721039,44.650236
Spiraea_alba,-68.329203,45.404966
Spiraea_alba,-75.287292,41.290962
Spiraea_alba,-75.411858,45.391388
Spiraea_alba,-70.629155,44.347402
Spiraea_alba,-73.688664,43.144865
Spiraea_alba,-86.228928,42.419178
Spiraea_alba,-69.466142,45.508083
Spiraea_alba,-72.089168,42.531192
Spiraea_alba,-78.794922,43.872405
Spiraea_alba,-84.251237,43.330572
Spiraea_alba,-72.177265,41.756817
Spiraea_alba,-72.951503,42.586333
Spiraea_alba,-70.27359,41.705307
Spiraea_alba,-79.19113,44.826237
Spiraea_alba,-74.569892,42.210866
Spiraea_alba,-65.366853,44.734822
Spiraea_alba,-72.323706,43.695178
Spiraea_alba,-72.259167,44.248889
Spiraea_alba,-92.438004,47.668933
Spiraea_alba,-71.697372,44.957762
Spiraea_alba,-81.395472,46.018875
Spiraea_alba,-71.512262,44.221745
Spiraea_alba,-71.851288,42.81625
Spiraea_alba,-71.596927,42.689808
Spiraea_alba,-71.322119,44.253753
Spiraea_alba,-73.980079,44.151937
Spiraea_alba,-71.332687,42.479633
Spiraea_alba,-64.3309,46.70761
Spiraea_alba,-72.134535,42.403909
Spiraea_alba,-84.768105,47.450675
Spiraea_alba,-78.691872,45.202747
Spiraea_alba,-76.982035,45.902818
Spiraea_alba,-63.585292,44.91145
Spiraea_alba,-81.426288,46.148154
Spiraea_alba,-71.005351,44.447695
Spiraea_alba,-74.911697,43.557812
Spiraea_alba,-72.218892,42.456212
Spiraea_alba,-78.618217,45.448895
Spiraea_alba,-68.207325,44.357402
Spiraea_alba,-79.870153,44.884674
Spiraea_alba,-93.272422,48.765105
Spiraea_alba,-77.577057,45.659083
Spiraea_alba,-72.106625,43.498877
Spiraea_alba,-72.11888,42.459658
Spiraea_alba,-74.460122,43.986869
Spiraea_alba,-69.817967,47.593425
Spiraea_alba,-76.432384,44.856614
Spiraea_alba,-95.535705,49.917493
Spiraea_alba,-68.329324,44.285305
Spiraea_alba,-68.879922,46.103133
Spiraea_alba,-72.228306,44.265836
Spiraea_alba,-60.260758,46.244793
Spiraea_alba,-68.22535,44.352272
Spiraea_alba,-72.984139,44.450572
Spiraea_alba,-78.369654,45.58748
Spiraea_alba,-75.53537,42.644817
Spiraea_alba,-79.42513,39.024678
Spiraea_alba,-106.755842,52.090928
Spiraea_alba,-70.346596,43.928329
Spiraea_alba,-79.388844,39.454425
Spiraea_alba,-81.820494,40.512628
Spiraea_alba,-78.594627,45.565923
Spiraea_alba,-88.484894,47.189758
Spiraea_alba,-79.909126,44.920822
Spiraea_alba,-71.410869,44.218805
Spiraea_alba,-72.188285,44.199295
Spiraea_alba,-72.886292,44.511342
Spiraea_alba,-73.686492,43.333347
Spiraea_alba,-69.749222,44.708258
Spiraea_alba,-90.878303,46.7375
Spiraea_alba,-63.280463,45.406037
Spiraea_alba,-72.953138,43.044717
Spiraea_alba,-89.907608,46.152533
Spiraea_alba,-72.739222,42.809345
Spiraea_alba,-78.369583,45.587713
Spiraea_alba,-68.645063,47.238855
Spiraea_alba,-79.322594,45.023054
Spiraea_alba,-64.984167,45.604444
Spiraea_alba,-71.332251,42.479791
Spiraea_alba,-79.105572,44.886658
Spiraea_alba,-72.16558,45.275978
Spiraea_alba,-72.445288,41.731778
Spiraea_alba,-72.118491,43.736457
Spiraea_alba,-68.636344,44.573887
Spiraea_alba,-87.000886,45.847593
Spiraea_alba,-69.444995,44.124908
Spiraea_alba,-71.524825,43.307453
Spiraea_alba,-74.093583,41.214847
Spiraea_alba,-77.292056,44.906542
Spiraea_alba,-81.653118,41.18162
Spiraea_alba,-93.26863,48.618962
Spiraea_alba,-68.582923,44.428856
Spiraea_alba,-70.382133,43.505547
Spiraea_alba,-78.190864,44.723645
Spiraea_alba,-73.710693,44.235326
Spiraea_alba,-82.653033,42.979883
Spiraea_alba,-72.495155,42.377277
